raw_dream,dreamer,date,processed_dream,polarity,subjectivity,dream_length,tags,symbols,cluster,dominant_topic,pca1,pca2
"We are standing in front of a hotel at a resort and we have to take a boat to another beach where it is 'calm,' but there is a big storm with breakers out at sea and there are French doors closing off the exit from the boat house to the sea. I remember holding the doors closed against the onslaught of the breakers. Later everyone has to leave the boat house and then, in a few minutes, a huge wave tears the boat house away and whips it out to sea. Only the boatman and a few stragglers remain and they are eventually saved. We must stay at a hotel.",emma,unknown,standing front hotel resort take boat another beach where calm there big storm breakers out sea there french doors closing off exit from boat house sea remember holding doors closed against onslaught breakers later everyone leave boat house then few minutes huge wave tears boat house away whips out sea only boatman few stragglers remain eventually saved must stay hotel,0.022222222222222223,0.3388888888888889,111,"['Anxiety', 'Water']",[],0,1,-0.20143095146636494,-0.004908930641834497
"Dr. Brooke (thesis advisor) asks me to go to a night club called ""Iowa Park"" where they usually drink till 4 AM. I don't want to go but he said that he would not look at my paper otherwise. He even buys me a tiara! Shift: Mother is still alive (she died 4/13/47). She prevents me from going. She is jealous and she wants me to help her clean the house.",emma,unknown,dr brooke thesis advisor asks go night club called iowa park where usually drink till 4 dont want go he said he would not look paper otherwise he even buys tiara shift mother still alive she died 41347 she prevents from going she jealous she wants help her clean house,0.08854166666666669,0.36250000000000004,71,['Death'],['Family'],4,1,0.18845237851864696,0.4694244865381585
I am a queen: much admired. M. (lover) is at my side and service. Feeling of ultimate achievement. Shift: Mrs. Jones (professor and supervisor) has died. Mr. Jones is very bereft. I offer him help and services. Much ado about it all. The newspapers carry headlines and are tacked up all along the corridor of the psychology department. Bouquets of flowers sent. General feeling of sorrow. I am consulted by Mr. Jones about the funeral arrangements and then offer to go to live with him in his house as I am divorcing Edward (first husband).,emma,unknown,queen much admired m lover side service feeling ultimate achievement shift mrs jones professor supervisor died mr jones very bereft offer him help services much ado about all newspapers carry headlines tacked up all along corridor psychology department bouquets flowers sent general feeling sorrow consulted by mr jones about funeral arrangements then offer go live him his house as divorcing edward first husband,0.14805194805194807,0.4333333333333334,95,['Death'],['Vehicles'],1,1,-0.1842136898398656,0.11747906957439143
"Driving to mountains with Edward; we go ahead while mother-in-law and my father follow. Father is in a hearse, dragged along the ground by a truck. He said he liked it that way. W. and I have a regal meal but W. forgets to give some to father. I insist even though I realize that he really is dead already. (Reality: he died 1949). Shift: I meet K. (old lover); we drive together and then walk down the mountain. We find a spot that was 'only waiting to be painted by Cezanne (very vivid impression). It is a Doge-like palace in yellow and greens in Cezanne's style. A house by the sea. K. and I swim in this warm water standing on a sand bar and gradually pushes us back against the house; also see my brother somewhere in the background of the house. Shift: I invite K. to stay at our place in L. City telling him that no one will be there, but when we arrive Mrs. L. (our renter) is asleep and father is in my brother's bedroom. Therefore K. is 'forced' to stay with me in my bed. Remember only a few kisses. In the morning father worrying about Mrs. L.'s political views.",emma,unknown,driving mountains edward go ahead while motherinlaw father follow father hearse dragged along ground by truck he said he liked way w regal meal w forgets give some father insist even though realize he really dead already reality he died 1949 shift meet k old lover drive together then walk down mountain find spot only waiting painted by cezanne very vivid impression dogelike palace yellow greens cezannes style house by sea k swim this warm water standing sand bar gradually pushes us back against house also see brother somewhere background house shift invite k stay our place l city telling him no one will there when arrive mrs l our renter asleep father brothers bedroom therefore k forced stay bed remember only few kisses morning father worrying about mrs ls political views,0.046688034188034175,0.4356837606837607,207,"['Anxiety', 'Water', 'Death']","['Animals', 'Family', 'Nature']",1,1,-0.21942025842433502,0.08579272111299636
"Parents 'come to life' out of the grave, despite having been cremated. Father looks the same and mother tries to run my life again. They don't seem astonished. I understand that Forest Lawn is being sued for burying them alive! Shift: I walk along a ramp with A.S. (University instructor) and think of him as my therapist. He says, ""In two years mother's cancer could have been cured,"" but he can't explain it. He is very understanding. At home mother sees a daughter born after mother's death and she says: ""So that is what you have been up to."" Much commotion and people. Feeling of incredulity; how could it have happened? But no guilt.",emma,unknown,parents come life out grave despite having cremated father looks same mother tries run life again dont seem astonished understand forest lawn sued burying alive shift walk along ramp as university instructor think him as therapist he says two years mothers cancer could cured he cant explain he very understanding home mother sees daughter born after mothers death she says so what you up much commotion people feeling incredulity how could happened no guilt,0.085,0.28500000000000003,114,"['Death', 'Social']","['Family', 'Nature']",1,1,-0.08584831165805377,0.187214863580018
"I have lunch with father; realize that he is dead, but he looked as real as life. Shift: I am on a boat, but the boat is sinking; I am already in the water, so why do I not drown? Shift: I eat supper out, alone: 'free feeling.' Meet Borris (research fellow student) I show him my drawings of faces and he thought they were very good.",emma,unknown,lunch father realize he dead he looked as real as life shift boat boat sinking already water so why do not drown shift eat supper out alone free feeling meet borris research fellow student show him drawings faces he thought very good,0.3275,0.5700000000000001,67,"['Water', 'Death']","['Family', 'Body']",0,1,-0.27660932445046826,0.19250188281549047
"At Marita's birthday party in a nice home -- phone rings. Father says, ""There is an international crisis. The gas has been shut off in New York. It is grave."" Mother comes to the phone, ""Hurry home; but don't forget to buy 12 gallons of gas for the car and stock up in case of shortages."" I felt relieved and anxious both.",emma,unknown,maritas birthday party nice home phone rings father says there international crisis gas shut off new york grave mother comes phone hurry home dont forget buy 12 gallons gas car stock up case shortages felt relieved anxious both,0.12159090909090908,0.6136363636363636,62,"['Death', 'Social']","['Family', 'Vehicles']",2,1,-0.09374170043670704,0.03680108474235053
"We are standing on a stone ramp with a view of the ocean; there is a storm and we see tremendous whale and sabre-toothed sharks leap out of the water and swim so close you could touch them. I comment on how dangerous they look and how close we are to a radar detector device located right next to an atomic plant. Fear. Many security regulations. Then there is a strike in a plant and there are streams of refugees coming in by train. We discuss the Jewish question, but I am mostly worried because I cannot call our baby sitter because we are not to use the phone for fear of leaving fingerprints. Great tension.",emma,unknown,standing stone ramp view ocean there storm see tremendous whale sabretoothed sharks leap out water swim so close you could touch comment how dangerous look how close radar detector device located right next atomic plant fear many security regulations then there strike plant there streams refugees coming by train discuss jewish question mostly worried because cannot call our baby sitter because not use phone fear leaving fingerprints great tension,0.22738095238095238,0.5232142857142856,116,"['Fear/Chase', 'Water']","['Animals', 'Vehicles']",1,1,-0.13255042870363656,-0.05318980048188295
"Mother returns home. I tell her that my brother Ronald is running the house and therefore she should not boss him too much. Shift: In a rickety old plane with Marita; and there is an old man, a bum, on the plane who has to go to the toilet urgently, so the pilot carefully lands the plane on a bridge. (Vivid image of flying inside the bridge span). We land safely and no one is hurt; the bum is carried across the street to a man-hole and already a huge bowel movement is coming out and they are much too wide for a human bowel--feeling of terrible disgust and upset at the sight.",emma,unknown,mother returns home tell her brother ronald running house therefore she should not boss him too much shift rickety old plane marita there old man bum plane who go toilet urgently so pilot carefully lands plane bridge vivid image flying inside bridge span land safely no one hurt bum carried across street manhole already huge bowel movement coming out much too wide human bowelfeeling terrible disgust upset sight,0.032638888888888884,0.45416666666666666,113,"['Fear/Chase', 'Flying/Freedom']","['Family', 'Vehicles', 'Nature']",1,1,-0.09630638138448873,0.16348979649598605
"Riding in a car at great speed, releasing a torrent of water to flood garden for irrigation purposes because a river has been rerouted? Shift: at a ballet class. I dance for M. (friend and lover). I do a sort of scarf dance. M. is delighted and enthralled. We sleep together.",emma,9/50,riding car great speed releasing torrent water flood garden irrigation purposes because river rerouted shift ballet class dance m friend lover do sort scarf dance m delighted enthralled sleep together,0.75,0.725,51,['Water'],"['Vehicles', 'Nature']",0,1,-0.1430268941423417,0.07665489197774158
"E.C. (a popular psych teacher) is conducting a new class in psychology to a very large group of students; they hang on her words as she walks about and through the rows of seats. I am an observer and sit in various seats. She is radiant with a new hairdo. She ends the lecture with a simple prayer. She holds a cross in one hand and a pair of scissors in the other and asks that we all may learn to understand Jesus' teachings better. Silence. Then students crowd around her and I walk away with her, feeling very elated.",emma,unknown,ec popular psych teacher conducting new class psychology very large group students hang her words as she walks about through rows seats observer sit various seats she radiant new hairdo she ends lecture simple prayer she holds cross one hand pair scissors other asks all may learn understand jesus teachings better silence then students crowd around her walk away her feeling very elated,0.1726298701298701,0.4398376623376623,100,"['Anxiety', 'Water', 'Social']",['Body'],4,1,0.21193213264115415,0.380596997240906
"I am in a swimming pool and feel the water slide by me as I swim with long even strokes the whole length of the pool; very pleasant. I am practicing to become a world champion and succeed in doing 16 laps. My trainer says that is pretty good, but I still have a long way to go. I watch two teams compete in a swim meet; one is cooperative, the other individualistic. The first team wins!",emma,unknown,swimming pool feel water slide by as swim long even strokes whole length pool very pleasant practicing become world champion succeed doing 16 laps trainer says pretty good still long way go watch two teams compete swim meet one cooperative other individualistic first team wins,0.2781481481481482,0.5231481481481481,77,['Water'],['Vehicles'],1,1,-0.18708477884781963,0.040829282162056904
"In a field at a family picnic; a 3-year old boy asks if Jesus Christ was a great psychologist? Indeed, he was one of the greatest!! I explain it in child's terms and get flowing thanks from him. Shift: We are back in Vienna. We are lying on cots on high balconies looking out over the city. See the church spires, the dome shaped ""Karlskirche' and the ""Votiv Kirche."" I suddenly realize that there are no floors to the balconies. I look down and am scared of falling down. (uneasy feeling throughout). Shift: Stairways to heaven; I am going to heaven with various people. But I must abide by very complicated rules and have to stay in heaven after the third trip.",emma,unknown,field family picnic 3year old boy asks if jesus christ great psychologist indeed he one greatest explain childs terms get flowing thanks from him shift back vienna lying cots high balconies looking out over city see church spires dome shaped karlskirche votiv kirche suddenly realize there no floors balconies look down scared falling down uneasy feeling throughout shift stairways heaven going heaven various people must abide by very complicated rules stay heaven after third trip,0.10824074074074079,0.4389814814814814,122,"['Anxiety', 'Social']","['Animals', 'Vehicles', 'Nature']",1,1,-0.2158334181148493,0.0989248286324366
"Our upstairs neighbor comes into my bedroom and we start to have sex; just then someone knocks at the door. Our roomer says that someone needs to use my phone in my bedroom. I rush out furious. ""I am still asleep. Don't disturb me."" I rush back wildly and start locking the door. Remember turning the key in the lock but it won't snap closed. I try again and again and hold the door tightly closed against the intruder. Eventually by force and patience I succeed in locking the door. I return and we spend some wonderful moments together. Ride through lovely country.",emma,unknown,our upstairs neighbor comes into bedroom start sex just then someone knocks door our roomer says someone needs use phone bedroom rush out furious still asleep dont disturb rush back wildly start locking door remember turning key lock wont snap closed try again again hold door tightly closed against intruder eventually by force patience succeed locking door return spend some wonderful moments together ride through lovely country,0.19999999999999998,0.4785714285714286,103,['Uncategorized'],['Family'],0,1,-0.03859059622827419,-0.07607844461618568
